a / an	неопределённый артикль (a/an)
abandon	отказаться от
ability	способность
able	способный; в состоянии
about	о
above	выше
abroad	за рубежом
absolute	абсолютное
absolutely	абсолютно
academic	академический
accept	принять
acceptable	хорошо
access	доступ к
accident	авария
accompany	сопровождать
according to	согласно
account	учетная запись
accurate	точная
accuse	обвинять
achieve	достижения
achievement	достижения
acknowledge	признать
acquire	приобрести
across	по всей
act	акт
action	действия
active	активные
activity	деятельность
actor	актер
actress	актриса
actual	фактические
actually	на самом деле
ad	объявление
adapt	адаптировать
add	добавить
addition	дополнение
additional	дополнительные
address	адрес
administration	администрация; управление
admire	полюбоваться
admit	признать
adopt	принять
adult	взрослый
advance	заранее
advanced	расширенный
advantage	преимущества
adventure	приключения
advertise	рекламировать
advertisement	реклама
advertising	реклама
advice	советы
advise	консультировать
affair	дело
affect	влияют на
afford	позволить себе
afraid	бояться
after	после
afternoon	после обеда
afterward	впоследствии
again	снова
against	против
age	возраст
agency	агентство
agenda	повестка дня
agent	агент
aggressive	агрессивный
ago	назад
agree	согласен
agreement	соглашение
ah	ах; а
ahead	впереди
aid	помощь
aim	цель
air	воздуха
aircraft	самолеты
airline	авиакомпания
airport	аэропорт
alarm	будильник
album	альбом
alcohol	алкоголь
alcoholic	алкогольные
alive	жив
all	все
all right	хорошо
allow	разрешить
almost	почти
alone	только
along	вдоль
already	уже
also	также
alter	изменить
alternative	альтернатива
although	хотя
always	всегда
amazed	поразило
amazing	удивительный
ambition	амбиции
among	среди
amount	сумма
analysis	анализ
analyze	анализ
ancient	древние
and	и
anger	гнев
angle	угол
angry	злой
animal	животное
ankle	лодыжки
anniversary	юбилей
announce	объявить
announcement	объявление; анонс
annoy	раздражать
annoyed	раздражает
annoying	раздражает
annual	ежегодная
another	другой
answer	ответ
anxious	тревожно
any	любой
anybody	кто-нибудь
anymore	больше (не); больше уже
anyone	кто-нибудь
anything	что-нибудь
anyway	во всяком случае
anywhere	где угодно
apart	помимо
apartment	квартира
apologize	прошу прощения
app	приложение
apparent	ясно
apparently	по-видимому
appeal	обращение
appear	появляются
appearance	внешний вид
apple	яблоко
application	применение
apply	применить
appointment	назначение
appreciate	оценить
approach	подход
appropriate	соответствующие
approval	утверждение
approve	утвердить
approximately	примерно
April	апрель
architect	архитектор
architecture	архитектура
area	площадь
argue	спорить
argument	аргумент
arise	возникают
arm	рука
armed	вооруженные
arms	оружие
army	армия
around	вокруг
arrange	организовать
arrangement	композиция
arrest	арест
arrival	прибытие
arrive	прибытие
art	искусство
article	статьи
artificial	искусственные
artist	художник
artistic	художественные
as	как
ashamed	стыдно
aside	в сторону
ask	спросите
asleep	спит
aspect	аспект
assess	оценивать
assessment	оценка; оценивание
assignment	задание; назначение
assist	помощь
assistant	помощник
associate	юрист
associated	связанные
association	ассоциация
assume	предположим
at	в
